bill_id,state,bill_number,year,session_title,status_desc,status_date,last_action_date,last_action,committee,direction_heuristic,title,description,url
396957,MS,HB425,2012,2012 Regular Session,In Senate Committee,2012-03-06,2012-03-06,Died In Committee,,opens,Open primaries; authorize.,"An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's",https://legiscan.com/MS/bill/HB425/2012
390509,MS,HB158,2012,2012 Regular Session,In Senate Committee,2012-03-06,2012-03-06,Died In Committee,,opens,"Open primaries elections; authorize for state, county and municipal offices.","An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Open Primary Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's",https://legiscan.com/MS/bill/HB158/2012
400663,MS,HB589,2012,2012 Regular Session,In Senate Committee,2012-03-06,2012-03-06,Died In Committee,,opens,Open primary elections; authorize.,"An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's",https://legiscan.com/MS/bill/HB589/2012
396082,MS,SB2340,2012,2012 Regular Session,In Senate Committee,2012-03-06,2012-03-06,Died In Committee,,opens,Open primaries; establish.,"An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's",https://legiscan.com/MS/bill/SB2340/2012
404176,MS,HB1307,2012,2012 Regular Session,In Senate Committee,2012-03-06,2012-03-06,Died In Committee,,opens,Open primaries; establish.,"An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's",https://legiscan.com/MS/bill/HB1307/2012
397059,MS,HB380,2012,2012 Regular Session,In Senate Committee,2012-03-06,2012-03-06,Died In Committee,,opens,Open primaries; establish and abolish partisan primaries.,"An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's",https://legiscan.com/MS/bill/HB380/2012
359203,MS,SB2071,2012,2012 Regular Session,In Senate Committee,2012-03-06,2012-03-06,Died In Committee,,opens,Open primaries; establish.,"An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's",https://legiscan.com/MS/bill/SB2071/2012
402670,MS,HB1253,2012,2012 Regular Session,In Senate Committee,2012-03-06,2012-03-06,Died In Committee,,opens,Open primaries for county office; authorize.,"An Act To Amend Section 23-15-575, Mississippi Code Of 1972, To Authorize Qualified Electors To Vote In A Primary Election For Any Candidate For County Office Regardless Of Party Affiliation; To Amend",https://legiscan.com/MS/bill/HB1253/2012
451244,MS,HB235,2013,2013 Regular Session,In House Committee,2013-02-05,2013-02-05,Died In Committee,,opens,"Open primaries elections; authorize for state, county and municipal offices.","An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's",https://legiscan.com/MS/bill/HB235/2013
475776,MS,HB962,2013,2013 Regular Session,In House Committee,2013-02-05,2013-02-05,Died In Committee,,opens,Open primaries for county office; authorize.,"An Act To Amend Section 23-15-575, Mississippi Code Of 1972, To Authorize Qualified Electors To Vote In A Primary Election For Any Candidate For County Office Regardless Of Party Affiliation; To Amend",https://legiscan.com/MS/bill/HB962/2013
