state,name,party,role,district,sitting,sponsored,yea,nay,people_id
MT,Scott Reichner,R,Rep,HD-009,no,1,2,0,7939
LA,John Guinn,R,Rep,HD-037,no,1,2,0,5243
MT,Theresa Manzella,R,Sen,SD-044,yes,0,2,3,16563
WY,Charles Scott,R,Sen,SD-030,yes,1,2,0,8663
NY,Brian Kavanagh,D,Sen,SD-027,yes,0,5,0,1326
ME,Patricia Hymanson,D,Rep,HD-004,no,0,3,2,17564
ME,Margaret O'Neil,D,Rep,HD-129,no,0,5,0,18197
MT,Daniel Zolnikov,R,Sen,SD-022,yes,0,5,0,14351
ME,Gina Melaragno,D,Rep,HD-062,no,0,2,3,17273
ME,Robert Alley,D,Rep,HD-138,no,0,4,1,16631
ME,Nathan Wadsworth,R,Rep,HD-082,yes,0,4,1,17340
ME,Susan Austin,R,Rep,HD-067,no,0,3,2,8780
ME,Stacy Brenner,D,Sen,SD-030,yes,1,2,0,22239
MT,Keith Regier,R,Sen,SD-003,no,0,5,0,10402
ME,Seth Berry,D,Rep,HD-055,no,0,1,4,8785
LA,Erich Ponti,R,Rep,HD-069,no,1,2,0,5332
MT,Wendy McKamey,R,Sen,SD-012,yes,0,5,0,16375
MT,Denise Hayman,D,Sen,SD-033,yes,0,1,4,16313
ME,Joshua Morris,R,Rep,HD-091,yes,0,2,2,21228
LA,Michael Michot,R,Sen,SD-023,no,0,4,0,5387
MT,Dan Bartel,R,Sen,SD-015,no,0,4,0,18372
MT,Jim Peterson,R,Sen,SD-015,no,0,4,0,7958
MT,Rick Ripley,R,Sen,SD-009,no,0,4,0,7987
MT,Edward Buttrey,R,Rep,HD-021,yes,0,4,0,11962
NY,Monica Wallace,D,Rep,HD-143,no,1,1,0,18776
ME,Russell Black,R,Sen,SD-005,yes,0,2,2,10321
ME,Steven Foster,R,Rep,HD-032,yes,0,2,2,21208
IL,John Millner,R,Sen,SD-028,no,1,1,0,1083
ME,Henry Ingwersen,D,Sen,SD-032,yes,0,2,2,21217
ME,Betty Austin,D,Rep,HD-107,no,0,3,1,18173
ME,Joseph Perry,D,Rep,HD-024,no,0,3,1,8768
ME,Sawin Millett,R,Rep,HD-081,no,0,2,2,8869
ME,Lawrence Lockman,R,Rep,HD-137,no,0,3,1,15275
MD,Mary Lehman,D,Rep,HD-021,yes,1,1,0,20591
ME,Scott Landry,D,Rep,HD-075,no,0,3,1,21221
ME,Bettyann Sheats,D,Rep,HD-064,no,0,2,2,18203
MT,Dee Brown,R,Sen,SD-002,no,0,4,0,7878
ME,Sean Paulhus,D,Rep,HD-050,no,0,2,2,21349
ME,John Andrews,R,Rep,HD-079,no,0,3,1,21188
MT,Scott Sales,R,Sen,SD-035,no,0,4,0,7943
MT,Fred Thomas,R,Sen,SD-044,no,0,4,0,14077
MT,Roger Webb,R,Sen,SD-023,no,0,4,0,14262
MT,Janna Taylor,R,Sen,SD-006,no,0,4,0,7913
MT,Jennifer Fielder,R,Sen,SD-007,no,0,4,0,14354
MT,Elsie Arntzen,R,Sen,SD-027,no,0,4,0,7912
MT,Taylor Brown,R,Sen,SD-022,no,0,4,0,7997
MT,Debby Barrett,R,Sen,SD-036,no,0,4,0,7992
MT,Bruce Tutvedt,R,Sen,SD-003,no,0,4,0,7998
MT,Jeff Essmann,R,Rep,HD-054,no,0,4,0,7952
MT,Chas Vincent,R,Sen,SD-001,no,0,4,0,7873
MT,Frederick Moore,R,Rep,HD-037,no,0,4,0,11626
MT,Terry Murphy,R,Sen,SD-039,no,0,4,0,7962
MT,Art Wittich,R,Rep,HD-068,no,0,4,0,10422
LA,Dale Erdey,R,Sen,SD-013,no,0,4,0,5413
ME,Sara Gideon,D,Rep,HD-048,no,0,1,3,14718
ME,Brian Hubbell,D,Rep,HD-135,no,0,2,2,15391
MT,Jason Priest,R,Sen,SD-030,no,0,4,0,10423
MT,Ron Arthun,R,Sen,SD-031,no,0,3,1,11960
ME,Christina Riley,D,Rep,HD-074,no,0,3,1,18200
ME,Catherine Nadeau,D,Rep,HD-078,no,0,3,1,15045
LA,Michael Walsworth,R,Sen,SD-033,no,0,1,3,5376
SD,Craig Tieszen,R,Rep,HD-034,no,0,4,0,8217
ME,Erik Jorgensen,D,Rep,HD-041,no,0,1,3,15392
SD,Jim Bradford,D,Sen,SD-027,no,0,4,0,8229
ME,Victoria Kornfield,D,Rep,HD-125,no,0,3,1,14722
LA,Sherri Cheek,R,Sen,SD-038,no,0,4,0,5420
LA,David Heitmeier,D,Sen,SD-007,no,0,4,0,5385
LA,Robert Kostelka,R,Sen,SD-035,no,0,3,1,5386
LA,Edwin Murray,D,Sen,SD-004,no,0,3,1,5359
LA,John Alario,R,Sen,SD-008,no,0,4,0,5367
LA,Conrad Appel,R,Sen,SD-009,no,0,3,1,5364
LA,Ben Nevers,D,Sen,SD-012,no,0,4,0,5374
